spec	organism_name	assembly_accession	assembly_submission_date	repo	spec_group	genome_alternative	genome_version
acijub	acinonyx_jubatus	GCF_027475565.1	2022-12-28	refseq	other	1	acinonyx_jubatus_1
ailmel	ailuropoda_melanoleuca	GCF_002007445.2	2020-04-20	refseq	other	1	ailuropoda_melanoleuca_1
arcgaz	arctocephalus_gazella	GCA_900642305.1	2019-02-08	genbank	focal	1	arctocephalus_gazella_1
calurs	callorhinus_ursinus	GCF_003265705.1	2018-06-26	refseq	outgroup	1	callorhinus_ursinus_1
canlup	canis_lupus	GCF_000002285.5	2020-10-06	refseq	other	1	canis_lupus_1
carcar	caracal_caracal	GCA_016801355.1	2021-02-02	genbank	other	1	caracal_caracal_1
chrbra	chrysocyon_brachyurus	GCA_028533335.1	2023-02-09	genbank	other	1	chrysocyon_brachyurus_1
crocro	crocuta_crocuta	GCA_008692635.1	2019-10-07	genbank	other	1	crocuta_crocuta_1
cryfer	cryptoprocta_ferox	GCA_028646485.1	2023-02-16	genbank	other	1	cryptoprocta_ferox_1
eirbar	eira_barbara	GCA_020311275.1	2021-10-05	genbank	other	1	eira_barbara_1
enhlut	enhydra_lutris	GCF_002288905.1	2017-09-11	refseq	other	1	enhydra_lutris_1
eumjub	eumetopias_jubatus	GCF_004028035.1	2019-01-15	refseq	outgroup	1	eumetopias_jubatus_1
felcat	felis_catus	GCF_018350175.1	2021-05-13	refseq	other	1	felis_catus_1
felcha	felis_chaus	GCA_019924945.1	2021-09-14	genbank	other	1	felis_chaus_1
felnig	felis_nigripes	GCA_028533295.1	2023-02-09	genbank	other	1	felis_nigripes_1
halgry	halichoerus_grypus	GCA_012393455.1	2020-04-16	genbank	other	1	halichoerus_grypus_1
helpar	helogale_parvula	GCA_004023845.1	2019-01-15	genbank	other	1	helogale_parvula_1
hyahya	hyaena_hyaena	GCF_003009895.1	2018-03-19	refseq	other	1	hyaena_hyaena_1
leogeo	leopardus_geoffroyi	GCF_018350155.1	2021-05-13	refseq	other	1	leopardus_geoffroyi_1
lepwed	leptonychotes_weddellii	GCF_000349705.1	2013-03-29	refseq	other	1	leptonychotes_weddellii_1
loncan	lontra_canadensis	GCF_010015895.1	2020-01-27	refseq	other	1	lontra_canadensis_1
lutlut	lutra_lutra	GCF_902655055.1	2020-07-31	refseq	other	1	lutra_lutra_1
lycpic	lycaon_pictus	GCA_004216515.1	2019-02-20	genbank	other	1	lycaon_pictus_1
lyncan	lynx_canadensis	GCF_007474595.2	2020-07-14	refseq	other	1	lynx_canadensis_1
lynpar	lynx_pardinus	GCA_900661375.1	2019-03-28	genbank	other	1	lynx_pardinus_1
lynruf	lynx_rufus	GCF_022079265.1	2022-02-08	refseq	other	1	lynx_rufus_1
marzib	martes_zibellina	GCA_012583365.1	2020-04-20	genbank	other	1	martes_zibellina_1
melmel	meles_meles	GCA_922984935.2	2022-03-23	genbank	other	1	meles_meles_1
melcap	mellivora_capensis	GCA_004024625.1	2019-01-15	genbank	other	1	mellivora_capensis_1
mirang	mirounga_angustirostris	GCA_021288785.3	2022-12-21	genbank	other	1	mirounga_angustirostris_1
mirleo	mirounga_leonina	GCF_011800145.1	2020-03-31	refseq	other	1	mirounga_leonina_1
munmun	mungos_mungo	GCA_004023785.1	2019-01-15	genbank	other	1	mungos_mungo_1
muserm	mustela_erminea	GCF_009829155.1	2020-01-03	refseq	other	1	mustela_erminea_1
musnig	mustela_nigripes	GCA_022355385.1	2022-02-24	genbank	other	1	mustela_nigripes_1
musniv	mustela_nivalis	GCA_019141155.1	2021-07-06	genbank	other	1	mustela_nivalis_1
musput	mustela_putorius	GCF_011764305.1	2020-03-27	refseq	other	1	mustela_putorius_1
neosch	neomonachus_schauinslandi	GCF_002201575.2	2021-10-20	refseq	other	1	neomonachus_schauinslandi_1
nycpro	nyctereutes_procyonoides	GCA_905146905.1	2021-02-14	genbank	other	1	nyctereutes_procyonoides_1
odoros	odobenus_rosmarus	GCF_000321225.1	2013-01-16	refseq	other	1	odobenus_rosmarus_1
panleo	panthera_leo	GCF_018350215.1	2021-05-13	refseq	other	1	panthera_leo_1
panonc	panthera_onca	GCA_028533385.1	2023-02-09	genbank	other	1	panthera_onca_1
panpar	panthera_pardus	GCF_024362965.1	2022-07-21	refseq	other	1	panthera_pardus_1
pantig	panthera_tigris	GCF_018350195.1	2021-05-13	refseq	other	1	panthera_tigris_1
panunc	panthera_uncia	GCF_023721935.1	2022-06-16	refseq	other	1	panthera_uncia_1
parher	paradoxurus_hermaphroditus	GCA_004024585.1	2019-01-15	genbank	other	1	paradoxurus_hermaphroditus_1
phovit	phoca_vitulina	GCF_004348235.1	2019-02-11	refseq	other	1	phoca_vitulina_1
potfla	potos_flavus	GCA_028534135.1	2023-02-09	genbank	other	1	potos_flavus_1
priben	prionailurus_bengalensis	GCF_016509475.1	2021-01-06	refseq	other	1	prionailurus_bengalensis_1
priiri	prionailurus_iriomotensis	GCA_018403415.1	2021-03-31	genbank	other	1	prionailurus_iriomotensis_1
priviv	prionailurus_viverrinus	GCF_022837055.1	2022-04-08	refseq	other	1	prionailurus_viverrinus_1
prolot	procyon_lotor	GCA_028646535.1	2023-02-16	genbank	other	1	procyon_lotor_1
ptebra	pteronura_brasiliensis	GCA_004024605.1	2019-01-15	genbank	other	1	pteronura_brasiliensis_1
pumcon	puma_concolor	GCF_003327715.1	2018-07-19	refseq	other	1	puma_concolor_1
pumyag	puma_yagouaroundi	GCF_014898765.1	2020-10-20	refseq	other	1	puma_yagouaroundi_1
speven	speothos_venaticus	GCA_023170115.1	2022-04-01	genbank	other	1	speothos_venaticus_1
spigra	spilogale_gracilis	GCA_004023965.1	2019-01-15	genbank	other	1	spilogale_gracilis_1
sursur	suricata_suricatta	GCF_006229205.1	2019-07-03	refseq	other	1	suricata_suricatta_1
taxtax	taxidea_taxus	GCA_003697995.1	2018-10-30	genbank	other	1	taxidea_taxus_1
treorn	tremarctos_ornatus	GCA_028551375.1	2023-02-09	genbank	other	1	tremarctos_ornatus_1
ursame	ursus_americanus	GCF_020975775.1	2021-11-24	refseq	other	1	ursus_americanus_1
ursarc	ursus_arctos	GCF_023065955.1	2022-04-20	refseq	other	1	ursus_arctos_1
ursmar	ursus_maritimus	GCA_017311325.1	2021-03-10	genbank	other	1	ursus_maritimus_1
ursthi	ursus_thibetanus	GCA_009660055.1	2019-11-13	genbank	other	1	ursus_thibetanus_1
vulfer	vulpes_ferrilata	GCA_024500485.1	2022-08-01	genbank	other	1	vulpes_ferrilata_1
vullag	vulpes_lagopus	GCF_018345385.1	2021-05-12	refseq	other	1	vulpes_lagopus_1
vulvul	vulpes_vulpes	GCF_003160815.1	2018-05-25	refseq	other	1	vulpes_vulpes_1
zalcal	zalophus_californianus	GCF_009762305.2	2020-07-14	refseq	other	1	zalophus_californianus_1
